BLOCK_TIMESTAMP,BLOCK_ID,TX_ID,SUCCEEDED,ACCOUNT_ADDRESS,MINT,OWNER,PRE_BALANCE,BALANCE,FACT_TOKEN_BALANCES_ID,INSERTED_TIMESTAMP,MODIFIED_TIMESTAMP
2024-09-10 18:30:02.000,289005441,Scispz5Qg6g1mx9bJox7kUkAGZArkSUUZGvJD2k8XNbGr4aw9xtM7UiMT288G36CbD1t9L7xsiAw6G8VkMfMsQF,true,9rnrvUHo43Ge6sEF4q5B3ooNKSoSHraQzstfts1wcaZL,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,BdxtEVeyPXrk189cusApPr9HgJtMqy1EVddP6YLTa5vE,16666666,16682337.4366,3fb7e87e70bdd13b2a9a17e952fd98b5,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:29:14.000,289005333,wdazRL6NSQZ1sftCPi3pMZgVFRbNn692jq6veKXPnHY3HGXGknXVX4osqedV79CrvM7UTHqFteoFCMFJnpi3Y8M,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,11029886.317976,11248571.429761,60cd8ddd055517084718c2be227cb3ac,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:44:49.000,289007346,2z1KD7ktGsB85rmLa4kt3SRS2uFwreAJop4bWGLjL3ZyHZLSXHwceYqgppzBP1rHr66W6kQothbR7rteDo5jCq51,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,11244224.326572,11262978.43434,808a9d8c92b9c531f00933256496a460,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:35:24.000,289006137,54xfsNdCnN5rdX6QnEhWMWuRRnmpbEbRY1CsUj246AN9Q2KEbNT9Bg2ywYdvY4qxERGaSKppx3hKeD5oS5FyLjQk,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,10457072.570616,10421593.534477,e842f544e0e0ae78ccc650cf0ad5f191,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:27:40.000,289005132,45BncDjTAmVEh5FmuyngVyBXysecgXQpgmCX5EMAxFsr2ocFBmsvYYeaRhdmK4fvvcmD2oiVxQS63iGWikRSRrxS,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,7353374.471611,7264783.611042,41b7c4c1acc3df984a4ca6b68d4abea9,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:28:55.000,289005291,4msusET9CUhZVJhv8WmmMHwpVeWyXhYSW2GeTyak9i5KftXeSYvAChfUeF27gdMpm5GU46C6iNzjUGX7NvknWG9d,true,Cv77N2wxWAsoHAPEoU2GwGW1k7p8PgfGSqbasEZphscv,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,2ghQu13cKgLbTCMtTkfiAyKEpt8rK2WHhG2qGvjSsTFn,0,121856.66687,b0943673734f4c68d675ab2797320f17,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:29:44.000,289005401,QswaZ4FqVxRtNaAXbnL8TMXCQAetVGQYCTTRnRQfPX25DujNGybACUEwwHKX9S2cGVGrL9tR1u5Nehp6gpyN4Q6,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,12108593.308878,12094199.275609,787585bb6ebd9ed003259eb2c7b08b92,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:48:34.000,289007831,2gJDgQFjZdR1ojpLNvbrZ97FK4b1aC4tnwh4Y4rwomXmDENS3rTnYWfBd6qYMvLiTWTfqE19L9YdHsNGh4mhJqyi,true,DXn28NKrofi3LaSAJhaywEos1Ar3wyw4cFX3Z1vbZ5N5,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,QakuWvgZpw42W82z2NAamz7nRsFnmag71bf1q52YZeX,15698446.696711,15658226.704785,9b86370e7cb2ec19dedf9ab683ba6f39,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:31:52.000,289005677,58Fjp39pbARqKMtdUGeXtjzNKZCsQPi6Bjjs5zo8A8o5W5cW5jvxC6UtbhNfmdAYxAb2KY4fXKboDHpG9S7DK1GC,true,4HUWNipmm81qXM6NRm4JkqCYtKRBaAW6jor7pLyojnKj,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GB81mqzWum7Jo6QDa1BC8TJjVJGCATfLY8zVppiiN1ug,131913.818112,81786.567229,af07b25178c07dd446a86a06c6f384fa,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
2024-09-10 18:50:58.000,289008069,4GtUU9ad3x6bsSYnYF2x34NKfM7RkpnGaMDzWViAa4fJqpyk7ReAJ3pDdwg4i9P4uqbzscPPoj5xe4DJT9hVcKZA,true,2587udJoPkhsRPCqNTmjWDA1zUQepFusPFAhg1Jjxo5R,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,wpKEosdtDvTUzHTg985b5krTAcUJAB69A13wuMGSsMo,63819.168785,0,d63f796ab6fe6d0bb56b8b2051e17a1e,2024-09-10 19:05:59.826,2024-09-10 19:05:59.826
